"b","X1","X2","X3","Y"
"1","14.1","0.86","0.9853","13.6"
"1","16","1.06","1.0938","16.6"
"1","8","0.67","0.928","10.2"
"1","4.1","0.4","0.9462","5.4"
"1","15","1.04","0.8885","15"
"1","8.8","0.76","1.0267","9"
"1","12.4","0.95","0.9225","12.3"
"1","16.6","1.12","0.9372","16.3"
"1","14.9","1.02","0.8858","15.4"
"1","13.7","1.01","0.9643","13"
"1","15.1","0.9","0.9316","14.4"
"1","7.8","0.57","0.9705","10"
"1","11.4","0.78","1.124","10.2"
"1","9","0.74","0.8517","9.5"
"1","1","0.13","0.7851","1.5"
"1","17","1.26","0.9186","18.5"
"1","12.8","1.08","1.0395","12.6"
"1","15.8","0.96","0.9573","17.5"
"1","4.5","0.42","0.9106","4.9"
"1","14.5","1.01","1.007","15.9"
"1","7.3","0.61","0.9806","8.5"
"1","8.6","0.69","0.9693","10.6"
"1","15.2","1.02","0.9496","13.9"
"1","12","0.82","1.1184","14.9"
